price,installment,bedroom_count,bathroom_count,carport_count,land_area,building_area,location_encoded
1500000000.0,5000000.0,3,2,2,115.0,98.0,1
1600000000.0,5000000.0,2,2,1,58.0,66.0,10
1900000000.0,7000000.0,4,3,1,195.0,180.0,6
1300000000.0,4000000.0,3,1,0,146.0,120.0,4
1250000000.0,4000000.0,4,2,0,127.0,1126.0,16
595000000.0,2000000.0,2,1,1,125.0,45.0,12
920000000.0,3000000.0,3,3,0,97.0,135.0,5
1380000000.0,5000000.0,3,2,2,105.0,120.0,21
4950000000.0,18000000.0,5,3,2,180.0,360.0,1
990000000.0,3000000.0,3,3,0,117.0,110.0,2
6700000000.0,24000000.0,5,3,2,375.0,400.0,8
9500000000.0,35000000.0,7,6,6,527.0,371.0,5
750000000.0,2000000.0,3,2,0,65.0,195.0,3
2500000000.0,9000000.0,8,5,0,219.0,400.0,18
450000000.0,1000000.0,2,1,1,120.0,80.0,3
1000000000.0,3000000.0,4,3,0,100.0,120.0,2
2000000000.0,7000000.0,4,3,1,192.0,200.0,20
810000000.0,3000000.0,3,2,1,96.0,66.0,20
6300000000.0,23000000.0,4,4,0,375.0,560.0,5
3250000000.0,12000000.0,5,3,0,400.0,300.0,24
2400000000.0,8000000.0,3,3,1,160.0,280.0,5
4500000000.0,16000000.0,4,3,0,265.0,300.0,8
2500000000.0,9000000.0,3,3,0,320.0,280.0,5
950000000.0,3000000.0,2,1,0,112.0,61.0,17
3700000000.0,13000000.0,6,3,3,493.0,250.0,6
1600000000.0,5000000.0,5,5,1,165.0,97.0,9
490000000.0,1000000.0,3,2,1,94.0,50.0,12
1700000000.0,6000000.0,3,2,0,160.0,150.0,4
8250000000.0,30000000.0,4,4,1,311.0,465.0,18
1600000000.0,5000000.0,2,2,0,81.0,183.0,24
20000000000.0,74000000.0,4,3,6,800.0,1000.0,3
433000000.0,1000000.0,2,1,0,66.0,60.0,16
6400000000.0,23000000.0,3,2,2,400.0,274.0,14
479000000.0,1000000.0,2,1,1,61.0,41.0,19
890000000.0,3000000.0,9,2,0,63.0,120.0,22
1650000000.0,6000000.0,2,1,0,155.0,75.0,19
2900000000.0,10000000.0,0,2,0,131.0,260.0,0
1650000000.0,6000000.0,4,2,1,105.0,150.0,8
900000000.0,3000000.0,2,2,1,122.0,70.0,6
1390000000.0,5000000.0,3,2,2,107.0,150.0,16
1700000000.0,6000000.0,3,2,2,108.0,120.0,23
700000000.0,2000000.0,2,1,2,144.0,70.0,19
4250000000.0,15000000.0,4,2,0,418.0,260.0,13
3000000000.0,11000000.0,4,4,0,108.0,330.0,3
4200000000.0,15000000.0,4,2,1,297.0,220.0,13
999000000.0,3000000.0,4,3,1,144.0,150.0,17
9000000000.0,33000000.0,45,46,6,939.0,1863.0,20
8800000000.0,32000000.0,5,4,0,616.0,300.0,17
235000000.0,873000.0,1,1,1,60.0,36.0,10
1800000000.0,6000000.0,13,13,1,154.0,300.0,25
1500000000.0,5000000.0,6,3,2,187.0,370.0,0
2500000000.0,9000000.0,3,2,1,219.0,150.0,24
9000000000.0,33000000.0,8,2,0,380.0,280.0,3
1650000000.0,6000000.0,3,2,0,97.0,140.0,3
2600000000.0,9000000.0,4,3,1,180.0,150.0,5
2900000000.0,10000000.0,5,3,2,153.0,275.0,18
3500000000.0,13000000.0,2,1,2,220.0,220.0,4
9000000000.0,33000000.0,11,3,1,390.0,265.0,7
4800000000.0,17000000.0,6,4,1,290.0,250.0,15
18000000000.0,66000000.0,6,5,0,725.0,750.0,25
3500000000.0,13000000.0,3,2,1,211.0,106.0,10
17200000000.0,63000000.0,0,0,0,801.0,975.0,14
635000000.0,2000000.0,2,1,1,78.0,50.0,21
3500000000.0,13000000.0,4,3,2,200.0,250.0,23
857000000.0,3000000.0,3,1,1,79.0,68.0,20
2200000000.0,8000000.0,8,4,0,181.0,300.0,5
2200000000.0,8000000.0,3,3,2,184.0,200.0,10
600000000.0,2000000.0,3,1,1,94.0,60.0,2
3000000000.0,11000000.0,3,3,4,450.0,303.0,4
6500000000.0,24000000.0,15,15,0,350.0,321.0,15
950000000.0,3000000.0,4,2,1,107.0,200.0,26
2750000000.0,10000000.0,6,4,3,286.0,450.0,10
18000000000.0,66000000.0,0,5,10,568.0,500.0,25
3300000000.0,12000000.0,4,2,0,285.0,300.0,24
490000000.0,1000000.0,2,1,1,60.0,50.0,21
3100000000.0,11000000.0,5,3,1,183.0,280.0,8
9500000000.0,35000000.0,5,2,1,524.0,430.0,10
1900000000.0,7000000.0,3,3,2,119.0,150.0,10
2300000000.0,8000000.0,6,2,1,132.0,123.0,26
3500000000.0,13000000.0,4,3,1,240.0,200.0,0
800000000.0,2000000.0,9,2,0,86.0,70.0,6
6500000000.0,24000000.0,5,5,1,375.0,560.0,8
1500000000.0,5000000.0,4,3,0,150.0,110.0,4
625000000.0,2000000.0,3,2,1,55.0,72.0,19
900000000.0,3000000.0,4,2,0,91.0,120.0,4
693000000.0,2000000.0,3,2,1,66.0,60.0,12
1350000000.0,5000000.0,3,3,2,80.0,100.0,1
11000000000.0,40000000.0,6,2,3,506.0,350.0,25
2300000000.0,8000000.0,3,2,2,184.0,150.0,4
4800000000.0,17000000.0,4,2,0,499.0,268.0,22
1100000000.0,4000000.0,3,2,0,95.0,130.0,6
1200000000.0,4000000.0,3,0,0,83.0,140.0,3
8500000000.0,31000000.0,7,4,1,376.0,500.0,18
2500000000.0,9000000.0,12,12,0,180.0,340.0,15
1290000000.0,4000000.0,4,2,1,176.0,150.0,2
725000000.0,2000000.0,4,2,0,66.0,120.0,3
5500000000.0,20000000.0,5,6,2,400.0,236.0,9
18500000000.0,68000000.0,4,4,4,478.0,500.0,18
2400000000.0,8000000.0,5,3,1,132.0,144.0,23
834000000.0,3000000.0,3,2,1,60.0,52.0,19
455000000.0,1000000.0,2,1,1,85.0,45.0,26
27700000000.0,103000000.0,7,4,4,748.0,650.0,15
4000000000.0,14000000.0,4,2,2,164.0,375.0,17
2200000000.0,8000000.0,4,3,2,476.0,250.0,1
3200000000.0,11000000.0,6,6,2,205.0,615.0,4
4000000000.0,14000000.0,32,32,0,149.0,497.0,13
5000000000.0,18000000.0,0,3,1,269.0,140.0,13
11900000000.0,44000000.0,7,4,0,1061.0,407.0,23
11000000000.0,40000000.0,20,6,3,625.0,700.0,11
2600000000.0,9000000.0,3,3,2,110.0,145.0,11
1200000000.0,4000000.0,3,3,0,190.0,130.0,17
550000000.0,2000000.0,2,1,1,60.0,36.0,24
16000000000.0,59000000.0,4,4,2,600.0,800.0,8
1700000000.0,6000000.0,4,3,1,160.0,150.0,2
3000000000.0,11000000.0,3,2,1,169.0,270.0,22
2300000000.0,8000000.0,3,2,2,148.0,140.0,5
10000000000.0,37000000.0,6,3,2,425.0,500.0,8
2300000000.0,8000000.0,4,3,3,181.0,220.0,5
6000000000.0,22000000.0,4,2,0,289.0,400.0,4
1400000000.0,5000000.0,5,2,1,98.0,170.0,15
11000000000.0,40000000.0,4,3,2,400.0,500.0,4
5500000000.0,20000000.0,7,4,0,375.0,375.0,22
2600000000.0,9000000.0,5,2,2,127.0,300.0,9
11000000000.0,40000000.0,4,5,0,600.0,500.0,4
5500000000.0,20000000.0,3,1,0,280.0,250.0,25
1300000000.0,4000000.0,3,3,0,90.0,86.0,16
1200000000.0,4000000.0,3,3,0,70.0,115.0,2
1450000000.0,5000000.0,2,2,1,160.0,120.0,13
6800000000.0,25000000.0,4,4,0,360.0,300.0,14
270000000.0,1000000.0,2,1,1,60.0,36.0,26
55000000000.0,204000000.0,5,4,0,1000.0,1200.0,13
700000000.0,2000000.0,2,1,0,87.0,45.0,12
1250000000.0,4000000.0,2,1,1,105.0,85.0,10
2100000000.0,7000000.0,5,2,1,189.0,140.0,0
