price,installment,location,bedroom_count,bathroom_count,carport_count,land_area,building_area
7900000000.0,29000000.0,"Andir, Bandung",5,4,6,500.0,574.0
1800000000.0,6000000.0,"Andir, Bandung",3,2,1,70.0,116.0
890000000.0,3000000.0,"Andir, Bandung",2,1,0,40.0,39.0
850000000.0,3000000.0,"Andir, Bandung",2,1,0,100.0,40.0
3800000000.0,14000000.0,"Andir, Bandung",4,2,1,219.0,200.0
5500000000.0,20000000.0,"Andir, Bandung",4,3,1,400.0,420.0
4000000000.0,14000000.0,"Andir, Bandung",5,3,0,184.0,234.0
4500000000.0,16000000.0,"Andir, Bandung",4,2,0,404.0,250.0
550000000.0,2000000.0,"Andir, Bandung",2,1,0,140.0,140.0
3100000000.0,11000000.0,"Andir, Bandung",3,1,0,274.0,18.0
1450000000.0,5000000.0,"Andir, Bandung",3,2,1,98.0,87.0
512000000.0,1000000.0,"Andir, Bandung",4,2,1,120.0,80.0
700000000.0,2000000.0,"Andir, Bandung",7,2,0,138.0,138.0
2900000000.0,10000000.0,"Andir, Bandung",3,3,1,183.0,300.0
2500000000.0,9000000.0,"Andir, Bandung",3,3,2,210.0,150.0
3950000000.0,14000000.0,"Andir, Bandung",5,3,0,184.0,234.0
1620000000.0,6000000.0,"Andir, Bandung",4,3,0,156.0,120.0
648000000.0,2000000.0,"Andir, Bandung",2,1,0,96.0,96.0
375000000.0,1000000.0,"Andir, Bandung",1,1,0,75.0,55.0
3390000000.0,12000000.0,"Andir, Bandung",4,3,0,150.0,200.0
2100000000.0,7000000.0,"Andir, Bandung",5,2,1,189.0,140.0
1500000000.0,5000000.0,"Andir, Bandung",4,2,0,268.0,165.0
5000000000.0,18000000.0,"Andir, Bandung",3,2,2,300.0,200.0
1600000000.0,5000000.0,"Andir, Bandung",4,2,1,89.0,145.0
6000000000.0,22000000.0,"Andir, Bandung",8,4,3,745.0,168.0
1370000000.0,5000000.0,"Andir, Bandung",4,2,0,72.0,100.0
5600000000.0,20000000.0,"Andir, Bandung",7,4,2,364.0,500.0
550000000.0,2000000.0,"Andir, Bandung",3,2,2,103.0,96.0
5500000000.0,20000000.0,"Andir, Bandung",5,4,0,392.0,260.0
950000000.0,3000000.0,"Andir, Bandung",0,0,0,72.0,90.0
3900000000.0,14000000.0,"Andir, Bandung",3,1,0,120.0,120.0
950000000.0,3000000.0,"Andir, Bandung",3,2,1,72.0,120.0
400000000.0,1000000.0,"Andir, Bandung",3,2,4,370.0,240.0
8000000000.0,29000000.0,"Andir, Bandung",3,2,0,399.0,304.0
5500000000.0,20000000.0,"Andir, Bandung",5,4,0,400.0,260.0
3250000000.0,12000000.0,"Andir, Bandung",2,3,1,184.0,300.0
1250000000.0,4000000.0,"Andir, Bandung",0,0,0,238.0,150.0
3200000000.0,11000000.0,"Andir, Bandung",3,2,5,346.0,220.0
9000000000.0,33000000.0,"Andir, Bandung",6,2,4,389.0,350.0
950000000.0,3000000.0,"Andir, Bandung",2,2,1,72.0,65.0
550000000.0,2000000.0,"Andir, Bandung",3,1,2,122.0,70.0
3600000000.0,13000000.0,"Andir, Bandung",11,10,2,243.0,330.0
1200000000.0,4000000.0,"Andir, Bandung",3,2,1,120.0,110.0
1500000000.0,5000000.0,"Andir, Bandung",4,2,0,110.0,150.0
1700000000.0,6000000.0,"Andir, Bandung",4,3,0,90.0,180.0
450000000.0,1000000.0,"Andir, Bandung",2,1,0,74.0,70.0
1400000000.0,5000000.0,"Andir, Bandung",2,2,1,139.0,105.0
1300000000.0,4000000.0,"Andir, Bandung",2,2,1,137.0,160.0
1650000000.0,6000000.0,"Andir, Bandung",3,3,3,136.0,200.0
3500000000.0,13000000.0,"Andir, Bandung",2,2,1,202.0,400.0
4250000000.0,15000000.0,"Andir, Bandung",5,3,1,404.0,300.0
1900000000.0,7000000.0,"Andir, Bandung",4,3,2,168.0,130.0
1600000000.0,5000000.0,"Andir, Bandung",4,3,0,111.0,200.0
950000000.0,3000000.0,"Andir, Bandung",1,2,0,72.0,65.0
1330000000.0,4000000.0,"Andir, Bandung",4,2,0,61.0,90.0
968000000.0,3000000.0,"Andir, Bandung",4,3,1,41.0,68.0
2900000000.0,10000000.0,"Andir, Bandung",4,2,0,348.0,200.0
4500000000.0,16000000.0,"Andir, Bandung",4,3,0,280.0,330.0
1450000000.0,5000000.0,"Andir, Bandung",10,6,0,180.0,350.0
3800000000.0,14000000.0,"Andir, Bandung",4,3,4,202.0,300.0
3700000000.0,13000000.0,"Andir, Bandung",3,2,0,250.0,200.0
550000000.0,2000000.0,"Andir, Bandung",3,2,0,125.0,115.0
3600000000.0,13000000.0,"Andir, Bandung",4,3,0,202.0,300.0
1800000000.0,6000000.0,"Andir, Bandung",4,2,2,170.0,210.0
4500000000.0,16000000.0,"Andir, Bandung",4,2,0,404.0,300.0
850000000.0,3000000.0,"Andir, Bandung",4,1,0,84.0,120.0
2900000000.0,10000000.0,"Andir, Bandung",0,2,0,131.0,260.0
1000000000.0,3000000.0,"Andir, Bandung",2,2,1,39.0,52.0
1990000000.0,7000000.0,"Andir, Bandung",4,2,2,104.0,125.0
2100000000.0,7000000.0,"Andir, Bandung",2,2,0,177.0,162.0
8900000000.0,33000000.0,"Andir, Bandung",6,4,0,414.0,300.0
850000000.0,3000000.0,"Andir, Bandung",4,3,2,84.0,120.0
4150000000.0000005,15000000.0,"Astanaanyar, Bandung",4,4,1,306.0,400.0
1300000000.0,4000000.0,"Astanaanyar, Bandung",4,2,1,145.0,150.0
2550000000.0,9000000.0,"Astanaanyar, Bandung",24,8,0,233.0,326.0
2200000000.0,8000000.0,"Astanaanyar, Bandung",2,2,0,135.0,200.0
6850000000.0,25000000.0,"Astanaanyar, Bandung",2,4,0,483.0,600.0
2250000000.0,8000000.0,"Astanaanyar, Bandung",24,8,0,233.0,326.0
1400000000.0,5000000.0,"Astanaanyar, Bandung",3,2,1,147.0,132.0
1950000000.0,7000000.0,"Astanaanyar, Bandung",3,3,2,122.0,150.0
1640000000.0,6000000.0,"Astanaanyar, Bandung",4,3,1,75.0,140.0
1900000000.0,7000000.0,"Astanaanyar, Bandung",4,3,1,251.0,160.0
865000000.0,3000000.0,"Astanaanyar, Bandung",3,2,0,65.0,225.0
1300000000.0,4000000.0,"Astanaanyar, Bandung",3,1,2,140.0,120.0
4000000000.0,14000000.0,"Astanaanyar, Bandung",5,4,2,239.0,400.0
2170000000.0,8000000.0,"Astanaanyar, Bandung",20,20,0,157.0,252.0
5500000000.0,20000000.0,"Astanaanyar, Bandung",5,3,0,312.0,650.0
600000000.0,2000000.0,"Astanaanyar, Bandung",2,1,0,76.0,60.0
2300000000.0,8000000.0,"Astanaanyar, Bandung",4,3,2,134.0,200.0
3400000000.0,12000000.0,"Astanaanyar, Bandung",5,2,3,311.0,264.0
1200000000.0,4000000.0,"Astanaanyar, Bandung",3,1,1,177.0,120.0
5500000000.0,20000000.0,"Astanaanyar, Bandung",6,3,2,328.0,400.0
1100000000.0,4000000.0,"Astanaanyar, Bandung",19,5,0,99.0,190.0
500000000.0,1000000.0,"Astanaanyar, Bandung",2,1,0,50.0,71.0
2500000000.0,9000000.0,"Astanaanyar, Bandung",3,2,1,235.0,175.0
1300000000.0,4000000.0,"Astanaanyar, Bandung",2,1,1,118.0,100.0
985000000.0,3000000.0,"Astanaanyar, Bandung",2,2,0,101.0,160.0
2500000000.0,9000000.0,"Astanaanyar, Bandung",4,3,1,96.0,192.0
958000000.0,3000000.0,"Astanaanyar, Bandung",2,2,0,101.0,160.0
550000000.0,2000000.0,"Astanaanyar, Bandung",2,1,0,87.0,60.0
2600000000.0,9000000.0,"Astanaanyar, Bandung",3,2,1,234.0,137.0
1950000000.0,7000000.0,"Astanaanyar, Bandung",3,3,0,122.0,150.0
3100000000.0,11000000.0,"Astanaanyar, Bandung",4,3,1,200.0,350.0
1200000000.0,4000000.0,"Astanaanyar, Bandung",3,1,0,90.0,110.0
2500000000.0,9000000.0,"Astanaanyar, Bandung",4,3,0,91.0,200.0
1600000000.0,5000000.0,"Astanaanyar, Bandung",2,1,0,97.0,153.0
2150000000.0,7000000.0,"Astanaanyar, Bandung",24,8,0,233.0,326.0
1600000000.0,5000000.0,"Astanaanyar, Bandung",3,2,0,129.0,100.0
1900000000.0,7000000.0,"Astanaanyar, Bandung",5,3,2,106.0,240.0
1650000000.0,6000000.0,"Astanaanyar, Bandung",3,2,0,97.0,140.0
1900000000.0,7000000.0,"Astanaanyar, Bandung",5,3,0,106.0,240.0
1700000000.0,6000000.0,"Astanaanyar, Bandung",4,3,2,157.0,145.0
2850000000.0,10000000.0,"Astanaanyar, Bandung",0,2,1,200.0,150.0
150000000.0,557000.0,"Astanaanyar, Bandung",2,1,1,60.0,36.0
1550000000.0,5000000.0,"Astanaanyar, Bandung",3,2,1,75.0,140.0
2800000000.0,10000000.0,"Astanaanyar, Bandung",24,8,15,233.0,326.0
9400000000.0,34000000.0,"Astanaanyar, Bandung",38,38,0,724.0,1777.0
1650000000.0,6000000.0,"Astanaanyar, Bandung",4,2,1,97.0,140.0
1600000000.0,5000000.0,"Astanaanyar, Bandung",2,1,0,181.0,68.0
350000000.0,1000000.0,"Astanaanyar, Bandung",1,1,0,70.0,70.0
2500000000.0,9000000.0,"Astanaanyar, Bandung",3,2,1,180.0,150.0
1850000000.0,6000000.0,"Astanaanyar, Bandung",3,2,1,221.0,250.0
1500000000.0,5000000.0,"Astanaanyar, Bandung",3,1,0,91.0,80.0
1600000000.0,5000000.0,"Astanaanyar, Bandung",3,2,0,75.0,140.0
1750000000.0,6000000.0,"Astanaanyar, Bandung",20,20,0,212.0,325.0
3950000000.0,14000000.0,"Astanaanyar, Bandung",3,3,1,127.0,250.0
3900000000.0,14000000.0,"Astanaanyar, Bandung",10,7,0,225.0,450.0
650000000.0,2000000.0,"Astanaanyar, Bandung",4,2,0,82.0,100.0
1100000000.0,4000000.0,"Astanaanyar, Bandung",2,2,1,94.0,120.0
950000000.0,3000000.0,"Astanaanyar, Bandung",4,3,1,84.0,200.0
1600000000.0,5000000.0,"Astanaanyar, Bandung",3,2,1,75.0,140.0
2500000000.0,9000000.0,"Astanaanyar, Bandung",4,4,0,131.0,200.0
2500000000.0,9000000.0,"Astanaanyar, Bandung",4,3,1,121.0,200.0
3250000000.0,12000000.0,"Astanaanyar, Bandung",3,2,1,421.0,165.0
3900000000.0,14000000.0,"Astanaanyar, Bandung",4,3,2,121.0,245.0
6600000000.0,24000000.0,"Astanaanyar, Bandung",0,0,1,528.0,405.0
3600000000.0,13000000.0,"Astanaanyar, Bandung",3,3,0,127.0,260.0
1900000000.0,7000000.0,"Astanaanyar, Bandung",3,2,0,106.0,150.0
1000000000.0,3000000.0,"Astanaanyar, Bandung",2,2,1,94.0,120.0
1950000000.0,7000000.0,"Astanaanyar, Bandung",3,2,0,138.0,120.0
1570000000.0,5000000.0,"Astanaanyar, Bandung",4,2,1,150.0,124.0
5000000000.0,18000000.0,"Astanaanyar, Bandung",2,3,2,214.0,250.0
2900000000.0,10000000.0,"Astanaanyar, Bandung",3,3,5,254.0,324.0
690000000.0,2000000.0,"Astanaanyar, Bandung",2,1,0,107.0,99.0
750000000.0,2000000.0,"Astanaanyar, Bandung",2,1,0,107.0,99.0
2200000000.0,8000000.0,"Astanaanyar, Bandung",4,4,0,91.0,167.0
1000000000.0,3000000.0,"Astanaanyar, Bandung",12,12,0,119.0,240.0
3700000000.0,13000000.0,"Astanaanyar, Bandung",5,2,0,311.0,265.0
2400000000.0,8000000.0,"Astanaanyar, Bandung",3,1,0,313.0,400.0
1600000000.0,5000000.0,"Astanaanyar, Bandung",3,2,1,130.0,110.0
950000000.0,3000000.0,"Astanaanyar, Bandung",4,2,0,128.0,100.0
560000000.0,2000000.0,"Astanaanyar, Bandung",2,1,0,55.0,70.0
4500000000.0,16000000.0,"Astanaanyar, Bandung",6,5,2,120.0,250.0
